index,Country,Date,AvgTemperature
63239,Sri Lanka,2017-07-22,84.0
63240,Sri Lanka,2017-07-23,84.3
63241,Sri Lanka,2017-07-24,84.0
63242,Sri Lanka,2017-07-25,84.7
63243,Sri Lanka,2017-07-26,83.9
63244,Sri Lanka,2017-07-27,83.4
63245,Sri Lanka,2017-07-28,84.0
63246,Sri Lanka,2017-07-29,83.5
63247,Sri Lanka,2017-07-30,83.2
63248,Sri Lanka,2017-07-31,82.3
63249,Sri Lanka,2017-08-01,82.7
63250,Sri Lanka,2017-08-02,83.5
63251,Sri Lanka,2017-08-03,83.2
63252,Sri Lanka,2017-08-04,83.5
63253,Sri Lanka,2017-08-05,83.0
63254,Sri Lanka,2017-08-06,82.8
63255,Sri Lanka,2017-08-07,82.7
63256,Sri Lanka,2017-08-08,82.8
63257,Sri Lanka,2017-08-09,82.6
63258,Sri Lanka,2017-08-10,82.6
63259,Sri Lanka,2017-08-11,82.4
63260,Sri Lanka,2017-08-12,82.0
63261,Sri Lanka,2017-08-13,82.0
63262,Sri Lanka,2017-08-14,81.8
63263,Sri Lanka,2017-08-15,82.7
63264,Sri Lanka,2017-08-16,82.7
63265,Sri Lanka,2017-08-17,83.0
63266,Sri Lanka,2017-08-18,81.0
63267,Sri Lanka,2017-08-19,82.2
63268,Sri Lanka,2017-08-20,82.2
63269,Sri Lanka,2017-08-21,82.9
63270,Sri Lanka,2017-08-22,82.2
63271,Sri Lanka,2017-08-23,82.9
63272,Sri Lanka,2017-08-24,82.7
63273,Sri Lanka,2017-08-25,83.2
63274,Sri Lanka,2017-08-26,83.2
63275,Sri Lanka,2017-08-27,82.2
63276,Sri Lanka,2017-08-28,81.6
63277,Sri Lanka,2017-08-29,82.0
63278,Sri Lanka,2017-08-30,83.4
63279,Sri Lanka,2017-08-31,83.2
63280,Sri Lanka,2017-09-01,79.5
63281,Sri Lanka,2017-09-02,81.6
63282,Sri Lanka,2017-09-03,81.1
63283,Sri Lanka,2017-09-04,82.0
63284,Sri Lanka,2017-09-05,79.6
63285,Sri Lanka,2017-09-06,79.7
63286,Sri Lanka,2017-09-07,76.4
63287,Sri Lanka,2017-09-08,79.5
63288,Sri Lanka,2017-09-09,81.3
63289,Sri Lanka,2017-09-10,81.2
63290,Sri Lanka,2017-09-11,82.5
63291,Sri Lanka,2017-09-12,81.5
63292,Sri Lanka,2017-09-13,77.4
63293,Sri Lanka,2017-09-14,79.3
63294,Sri Lanka,2017-09-15,82.3
63295,Sri Lanka,2017-09-16,82.7
63296,Sri Lanka,2017-09-17,83.4
63297,Sri Lanka,2017-09-18,82.6
63298,Sri Lanka,2017-09-19,83.4
63299,Sri Lanka,2017-09-20,82.3
63300,Sri Lanka,2017-09-21,82.5
63301,Sri Lanka,2017-09-22,82.5
63302,Sri Lanka,2017-09-23,82.8
63303,Sri Lanka,2017-09-24,82.8
63304,Sri Lanka,2017-09-25,80.4
63305,Sri Lanka,2017-09-26,81.0
63306,Sri Lanka,2017-09-27,80.2
63307,Sri Lanka,2017-09-28,81.3
63308,Sri Lanka,2017-09-29,82.9
63309,Sri Lanka,2017-09-30,82.8
63310,Sri Lanka,2017-10-01,80.8
63311,Sri Lanka,2017-10-02,82.3
63312,Sri Lanka,2017-10-03,82.5
63313,Sri Lanka,2017-10-04,82.6
63314,Sri Lanka,2017-10-05,81.5
63315,Sri Lanka,2017-10-06,77.4
63316,Sri Lanka,2017-10-07,80.6
63317,Sri Lanka,2017-10-08,81.5
63318,Sri Lanka,2017-10-09,81.6
63319,Sri Lanka,2017-10-10,82.1
63320,Sri Lanka,2017-10-11,77.1
63321,Sri Lanka,2017-10-12,80.0
63322,Sri Lanka,2017-10-13,80.5
63323,Sri Lanka,2017-10-14,79.6
63324,Sri Lanka,2017-10-15,80.9
63325,Sri Lanka,2017-10-16,82.9
63326,Sri Lanka,2017-10-17,83.4
63327,Sri Lanka,2017-10-18,82.8
63328,Sri Lanka,2017-10-19,81.1
63329,Sri Lanka,2017-10-20,79.9
63330,Sri Lanka,2017-10-21,81.7
63331,Sri Lanka,2017-10-22,81.5
63332,Sri Lanka,2017-10-23,82.4
63333,Sri Lanka,2017-10-24,82.0
63334,Sri Lanka,2017-10-25,81.7
63335,Sri Lanka,2017-10-26,81.1
63336,Sri Lanka,2017-10-27,82.0
63337,Sri Lanka,2017-10-28,82.2
63338,Sri Lanka,2017-10-29,79.3
63339,Sri Lanka,2017-10-30,80.8
63340,Sri Lanka,2017-10-31,77.6
63341,Sri Lanka,2017-11-01,80.8
63342,Sri Lanka,2017-11-02,78.7
63343,Sri Lanka,2017-11-03,80.4
63344,Sri Lanka,2017-11-04,79.5
63345,Sri Lanka,2017-11-05,78.5
63346,Sri Lanka,2017-11-06,78.3
63347,Sri Lanka,2017-11-07,77.8
63348,Sri Lanka,2017-11-08,77.6
63349,Sri Lanka,2017-11-09,79.2
63350,Sri Lanka,2017-11-10,80.3
63351,Sri Lanka,2017-11-11,79.7
63352,Sri Lanka,2017-11-12,81.5
63353,Sri Lanka,2017-11-13,83.4
63354,Sri Lanka,2017-11-14,82.0
63355,Sri Lanka,2017-11-15,81.5
63356,Sri Lanka,2017-11-16,81.3
63357,Sri Lanka,2017-11-17,81.1
63358,Sri Lanka,2017-11-18,83.1
63359,Sri Lanka,2017-11-19,79.6
63360,Sri Lanka,2017-11-20,78.1
63361,Sri Lanka,2017-11-21,79.7
63362,Sri Lanka,2017-11-22,79.2
63363,Sri Lanka,2017-11-23,81.3
63364,Sri Lanka,2017-11-24,80.7
63365,Sri Lanka,2017-11-25,77.8
63366,Sri Lanka,2017-11-26,77.6
63367,Sri Lanka,2017-11-27,77.3
63368,Sri Lanka,2017-11-28,79.0
63369,Sri Lanka,2017-11-29,77.7
63370,Sri Lanka,2017-11-30,75.1
63371,Sri Lanka,2017-12-01,75.0
63372,Sri Lanka,2017-12-02,76.0
63373,Sri Lanka,2017-12-03,79.5
63374,Sri Lanka,2017-12-04,79.4
63375,Sri Lanka,2017-12-05,80.3
63376,Sri Lanka,2017-12-06,79.9
63377,Sri Lanka,2017-12-07,80.4
63378,Sri Lanka,2017-12-08,79.1
63379,Sri Lanka,2017-12-09,78.1
63380,Sri Lanka,2017-12-10,81.2
63381,Sri Lanka,2017-12-11,82.4
63382,Sri Lanka,2017-12-12,80.1
63383,Sri Lanka,2017-12-13,80.3
63384,Sri Lanka,2017-12-14,78.3
63385,Sri Lanka,2017-12-15,81.4
63386,Sri Lanka,2017-12-16,80.7
63387,Sri Lanka,2017-12-17,81.3
63388,Sri Lanka,2017-12-18,80.0
63389,Sri Lanka,2017-12-19,79.8
63390,Sri Lanka,2017-12-20,77.1
63391,Sri Lanka,2017-12-21,79.3
63392,Sri Lanka,2017-12-22,79.9
63393,Sri Lanka,2017-12-23,79.5
63394,Sri Lanka,2017-12-24,79.4
63395,Sri Lanka,2017-12-25,79.7
63396,Sri Lanka,2017-12-26,80.7
63397,Sri Lanka,2017-12-27,80.8
63398,Sri Lanka,2017-12-28,79.4
63399,Sri Lanka,2017-12-29,78.6
63400,Sri Lanka,2017-12-30,81.4
63401,Sri Lanka,2017-12-31,79.7
63402,Sri Lanka,2018-01-01,79.8
63403,Sri Lanka,2018-01-02,79.9
63404,Sri Lanka,2018-01-03,79.3
63405,Sri Lanka,2018-01-04,-99.0
63406,Sri Lanka,2018-01-05,77.8
63407,Sri Lanka,2018-01-06,74.4
63408,Sri Lanka,2018-01-07,76.2
63409,Sri Lanka,2018-01-08,77.4
63410,Sri Lanka,2018-01-09,79.0
63411,Sri Lanka,2018-01-10,79.5
63412,Sri Lanka,2018-01-11,79.8
63413,Sri Lanka,2018-01-12,79.1
63414,Sri Lanka,2018-01-13,80.4
63415,Sri Lanka,2018-01-14,80.4
63416,Sri Lanka,2018-01-15,74.3
63417,Sri Lanka,2018-01-16,79.0
63418,Sri Lanka,2018-01-17,80.9
63419,Sri Lanka,2018-01-18,79.2
63420,Sri Lanka,2018-01-19,78.4
63421,Sri Lanka,2018-01-20,77.5
63422,Sri Lanka,2018-01-21,78.2
63423,Sri Lanka,2018-01-22,78.0
63424,Sri Lanka,2018-01-23,78.1
63425,Sri Lanka,2018-01-24,78.1
63426,Sri Lanka,2018-01-25,78.0
63427,Sri Lanka,2018-01-26,78.0
